track_name,artist(s)_name,artist_count,released_year,released_month,released_day,streams,tempo,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,popular,loudness,playlist_genre,track_id,duration_ms,released_date
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,14,141381703,125,B,1,0.8,0.89,0.83,0.31,0,0.08,0.04,1,,,,,7/14/23
LALA,Myke Towers,1,2023,3,23,133716286,92,C♯/D♭,1,0.71,0.61,0.74,0.07,0,0.1,0.04,1,,,,,3/23/23
vampire,Olivia Rodrigo,1,2023,6,30,140003974,138,F,1,0.51,0.32,0.53,0.17,0,0.31,0.06,1,,,,,6/30/23
WHERE SHE GOES,Bad Bunny,1,2023,5,18,303236322,144,A,0,0.65,0.23,0.8,0.14,0.63,0.11,0.06,1,,,,,5/18/23
Sprinter,"Dave, Central Cee",2,2023,6,1,183706234,141,C♯/D♭,1,0.92,0.66,0.58,0.19,0,0.08,0.24,1,,,,,6/1/23
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,16,725980112,148,F,0,0.67,0.83,0.76,0.48,0,0.08,0.03,1,,,,,3/16/23
Columbia,Quevedo,1,2023,7,7,58149378,100,F,1,0.67,0.26,0.71,0.37,0,0.11,0.04,1,,,,,7/7/23
fukumean,Gunna,1,2023,5,15,95217315,130,C♯/D♭,0,0.85,0.22,0.62,0.12,0,0.28,0.09,1,,,,,5/15/23
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,3,17,553634067,170,D,0,0.81,0.56,0.48,0.21,0,0.08,0.33,1,,,,,3/17/23
un x100to,"Bad Bunny, Grupo Frontera",2,2023,4,17,505671438,83,F♯/G♭,0,0.57,0.56,0.72,0.23,0,0.27,0.05,1,,,,,4/17/23
Super Shy,NewJeans,1,2023,7,7,58255150,150,F,0,0.78,0.52,0.82,0.18,0,0.15,0.07,1,,,,,7/7/23
Flowers,Miley Cyrus,1,2023,1,12,1316855716,118,,1,0.71,0.65,0.68,0.06,0,0.03,0.07,1,,,,,1/12/23
Daylight,David Kushner,1,2023,4,14,387570742,130,D,0,0.51,0.32,0.43,0.83,0,0.09,0.03,1,,,,,4/14/23
As It Was,Harry Styles,1,2022,3,31,2513188493,174,F♯/G♭,0,0.52,0.66,0.73,0.34,0,0.31,0.06,1,,,,,3/31/22
Kill Bill,SZA,1,2022,12,8,1163093654,89,G♯/A♭,1,0.64,0.43,0.73,0.05,0.17,0.16,0.04,1,,,,,12/8/22
Cupid - Twin Ver.,Fifty Fifty,1,2023,2,24,496795686,120,B,0,0.78,0.76,0.59,0.43,0,0.34,0.03,1,,,,,2/24/23
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,1,2023,7,13,30546883,78,,1,0.44,0.14,0.09,0.96,0,0.1,0.03,1,,,,,7/13/23
Classy 101,"Feid, Young Miko",2,2023,3,31,335222234,100,B,1,0.86,0.67,0.66,0.14,0,0.12,0.16,1,,,,,3/31/23
Like Crazy,Jimin,1,2023,3,24,363369738,120,G,1,0.63,0.36,0.73,0,0,0.36,0.04,1,,,,,3/24/23
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,2023,6,22,86444842,140,F,0,0.65,0.87,0.74,0.22,0,0.42,0.04,1,,,,,6/22/23
I Can See You (TaylorÔøΩÔøΩÔøΩs Version) (From The ,Taylor Swift,1,2023,7,7,52135248,123,F♯/G♭,1,0.69,0.82,0.76,0.06,0,0.06,0.03,1,,,,,7/7/23
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,2023,5,31,200647221,133,F,0,0.85,0.81,0.67,0.26,0,0.12,0.05,1,,,,,5/31/23
